"sex","length","foodChoice"
"M",1.30,"Invertebrates"
"M",1.32,"Fish"
"M",1.32,"Fish"
"M",1.4,"Fish"
"M",1.42,"Invertebrates"
"M",1.42,"Fish"
"M",1.47,"Invertebrates"
"M",1.47,"Fish"
"M",1.5,"Invertebrates"
"M",1.52,"Invertebrates"
"M",1.63,"Invertebrates"
"M",1.65,"Other"
"M",1.65,"Other"
"M",1.65,"Invertebrates"
"M",1.65,"Fish"
"M",1.68,"Fish"
"M",1.7,"Invertebrates"
"M",1.73,"Other"
"M",1.78,"Fish"
"M",1.78,"Other"
"M",1.80,"Fish"
"M",1.85,"Fish"
"M",1.93,"Invertebrates"
"M",1.93,"Fish"
"M",1.98,"Invertebrates"
"M",2.03,"Fish"
"M",2.03,"Fish"
"M",2.31,"Fish"
"M",2.36,"Fish"
"M",2.46,"Fish"
"M",3.25,"Other"
"M",3.28,"Other"
"F",3.33,"Fish"
"F",3.56,"Fish"
"F",3.58,"Fish"
"F",3.66,"Fish"
"F",3.68,"Other"
"F",3.71,"Fish"
"F",3.89,"Fish"
"F",1.24,"Invertebrates"
"F",1.3,"Invertebrates"
"F",1.45,"Invertebrates"
"F",1.45,"Other"
"F",1.55,"Invertebrates"
"F",1.60,"Invertebrates"
"F",1.60,"Invertebrates"
"F",1.65,"Fish"
"F",1.78,"Invertebrates"
"F",1.78,"Other"
"F",1.8,"Invertebrates"
"F",1.88,"Invertebrates"
"F",2.16,"Fish"
"F",2.26,"Fish"
"F",2.31,"Fish"
"F",2.36,"Fish"
"F",2.39,"Fish"
"F",2.41,"Fish"
"F",2.44,"Fish"
"F",2.56,"Other"
"F",2.67,"Fish"
"F",2.72,"Invertebrates"
"F",2.79,"Fish"
"F",2.84,"Fish"
