y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
260.35,11,455.5,178.15,215.98,93.4,558724,538.1,133.9,2.98,117.18,8.6
269.8,7,480.2,156.41,180.48,88.5,538584,547.6,137.6,3.09,134.02,8.9
272.04,5.2,506.1,198.02,209.57,94.4,519171,562.8,143.6,3.23,141.68,8.52
272.96,4.3,535.8,222.1,231.67,92,500457,591,150.3,3.33,147.98,8.89
272.51,3.5,576,301.92,297.65,91,482418,626.1,164.3,3.46,159.85,13.07
261.34,3.2,601.7,391.22,367.62,87.4,465029,659.8,179.5,3.6,157.19,14.57
268.89,4.1,577.3,665.56,616.54,88.3,448267,686.2,187.5,3.73,155.29,21.36
295.99,3.9,596.9,1131.21,1029.75,86.1,432109,699.6,195.4,2.91,131.75,28.03
319.87,3.6,613.5,837.6,786.23,79,416533,729.9,210.3,4.25,178.74,31.49
341.43,7.1,569.3,794.9,713.77,73.9,401518,757.8,223.8,4.47,178.3,37.39
356.59,8.4,548.8,817.74,750.43,63.4,387046,755.3,227.7,5.04,209.54,46.26
376.69,7.7,563.4,583.17,1027.38,62.5,373095,787,230.9,5.47,240.05,47.24
390.19,6.3,609.3,709.59,666.5,58.9,359647,819.8,230.2,5.76,258.05,52.33
